"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-04-07","Castilla la Mancha",112269,135194,83.0,7717,159101,4.9,42029,218444,19.2,43372,307478,14.1,73505,707865,10.4,5721,149518,3.8,91,42364,0.2,284704,1719964,16.6
"2021-04-07","Cataluña",336495,447196,75.2,44271,635292,7.0,236047,837584,28.2,126212,1091780,11.6,284642,2803626,10.2,34252,556316,6.2,287,159864,0.2,1062206,6531658,16.3
"2021-04-07","C. Valenciana",254823,276531,92.1,18307,437862,4.2,87043,580728,15.0,88754,752334,11.8,197012,1765967,11.2,17166,352834,4.9,111,103049,0.1,663216,4269305,15.5
"2021-04-07","Extremadura",70164,76005,92.3,9996,91876,10.9,29986,125297,23.9,21643,169216,12.8,40759,351778,11.6,2114,76088,2.8,42,20953,0.2,174704,911213,19.2
"2021-04-07","Galicia",207664,234302,88.6,5327,289762,1.8,35350,346927,10.2,62256,405889,15.3,93385,889004,10.5,4659,152745,3.1,7,44014,0.0,408648,2362643,17.3
"2021-04-07","La Rioja",17338,22207,78.1,741,28125,2.6,8871,37718,23.5,6517,47664,13.7,12788,107618,11.9,1262,21170,6.0,8,6286,0.1,47525,270788,17.6
"2021-04-07","Madrid",266426,364122,73.2,33328,526081,6.3,140723,703323,20.0,103529,972783,10.6,265846,2513737,10.6,21742,479716,4.5,93,135861,0.1,831687,5695623,14.6
"2021-04-07","Murcia",60791,69771,87.1,4074,102899,4.0,18387,146909,12.5,24986,213256,11.7,58053,551265,10.5,7009,118667,5.9,103,34712,0.3,173403,1237479,14.0
"2021-04-07","Navarra",38153,41166,92.7,3438,55792,6.2,9508,73844,12.9,13207,96694,13.7,25742,223028,11.5,3241,48505,6.7,4,13906,0.0,93293,552935,16.9
"2021-04-07","País Vasco",104995,157950,66.5,4447,213081,2.1,74413,280119,26.6,47193,339977,13.9,87557,724849,12.1,11065,140323,7.9,6,41824,0.0,329676,1898123,17.4
"2021-04-07","Ceuta",2094,2605,80.4,1395,4318,32.3,1800,7857,22.9,1700,11556,14.7,3456,30066,11.5,274,7581,3.6,0,2175,0.0,10719,66158,16.2
"2021-04-07","Melilla",1552,2349,66.1,1791,3748,47.8,835,7827,10.7,1501,11299,13.3,3217,30095,10.7,190,8536,2.2,6,2324,0.3,9092,66178,13.7
"2021-04-07","España",2357123,2834024,83.2,268794,3960045,6.8,978601,5336986,18.3,842937,7033306,12.0,1800943,16706113,10.8,166455,3310299,5.0,1163,949049,0.1,6416016,40129822,16.0
"2021-04-08","Andalucía",405983,413516,98.2,115348,650381,17.7,151927,916147,16.6,141864,1265021,11.2,324650,3009381,10.8,27991,625846,4.5,188,181921,0.1,1167951,7062213,16.5
"2021-04-08","Aragón",86529,98807,87.6,4736,118955,4.0,17813,156367,11.4,26223,198266,13.2,49734,446083,11.1,5728,89180,6.4,29,25106,0.1,190792,1132764,16.8
"2021-04-08","Asturias",83167,87826,94.7,9818,109249,9.0,31463,149652,21.0,20480,162645,12.6,30041,322095,9.3,2896,54179,5.3,30,15563,0.2,177895,901209,19.7
"2021-04-08","Baleares",43357,49542,87.5,4466,80516,5.5,23135,117231,19.7,20396,165797,12.3,42250,464054,9.1,3673,85839,4.3,33,23300,0.1,137310,986279,13.9
"2021-04-08","Canarias",68177,90236,75.6,22251,154531,14.4,52700,235092,22.4,27667,350512,7.9,65821,832411,7.9,5720,163899,3.5,37,44352,0.1,242373,1871033,13.0
"2021-04-08","Cantabria",37085,41042,90.4,5336,53066,10.1,6142,77345,7.9,11082,89964,12.3,22376,194241,11.5,1551,34935,4.4,5,10791,0.0,83577,501384,16.7
"2021-04-08","Castilla y Leon",191149,223657,85.5,22620,245410,9.2,46317,318575,14.5,52359,381175,13.7,84450,738950,11.4,7282,144422,5.0,93,40684,0.2,404270,2092873,19.3
"2021-04-08","Castilla la Mancha",117834,135194,87.2,9565,159101,6.0,46498,218444,21.3,44750,307478,14.6,74231,707865,10.5,5786,149518,3.9,91,42364,0.2,298755,1719964,17.4
"2021-04-08","Cataluña",379663,447196,84.9,59602,635292,9.4,255485,837584,30.5,127934,1091780,11.7,286495,2803626,10.2,34603,556316,6.2,293,159864,0.2,1144075,6531658,17.5
"2021-04-08","C. Valenciana",267720,276531,96.8,32867,437862,7.5,107311,580728,18.5,89579,752334,11.9,198791,1765967,11.3,17299,352834,4.9,111,103049,0.1,713678,4269305,16.7
"2021-04-08","Extremadura",72269,76005,95.1,14757,91876,16.1,32873,125297,26.2,22099,169216,13.1,41211,351778,11.7,2149,76088,2.8,42,20953,0.2,185400,911213,20.3
"2021-04-08","Galicia",211962,234302,90.5,5421,289762,1.9,63179,346927,18.2,62695,405889,15.4,93672,889004,10.5,4962,152745,3.2,9,44014,0.0,441900,2362643,18.7
"2021-04-08","La Rioja",17338,22207,78.1,741,28125,2.6,10215,37718,27.1,6530,47664,13.7,12801,107618,11.9,1262,21170,6.0,8,6286,0.1,48895,270788,18.1
"2021-04-08","Madrid",281081,364122,77.2,35846,526081,6.8,157438,703323,22.4,104660,972783,10.8,267211,2513737,10.6,22098,479716,4.6,102,135861,0.1,868436,5695623,15.2
"2021-04-08","Murcia",61856,69771,88.7,4191,102899,4.1,19265,146909,13.1,25097,213256,11.8,58079,551265,10.5,7014,118667,5.9,103,34712,0.3,175605,1237479,14.2
"2021-04-08","Navarra",38409,41166,93.3,4755,55792,8.5,10207,73844,13.8,13238,96694,13.7,25772,223028,11.6,3243,48505,6.7,4,13906,0.0,95628,552935,17.3
"2021-04-08","País Vasco",108767,157950,68.9,4504,213081,2.1,75340,280119,26.9,47803,339977,14.1,88435,724849,12.2,11189,140323,8.0,6,41824,0.0,336044,1898123,17.7
